id,average_very_active_minutes,average_fairly_active_minutes,average_lightly_active_minutes,average_sedentary_minutes
1644430081,10.875,26.9,190.78,1129.95
7086361926,38.929,23.76,135.1,847.38
4702921684,4.614,24.23,251.43,722.27
3977333714,16.976,52.69,183.95,707.88
6391747486,15.333,2,103,1319.67
6290855005,2.769,8.35,268.81,1145.62
3372868164,10.033,3.9,314.23,1080.07
8877689391,66.279,11.37,236.47,1094.26
2026352035,0.07,0.19,232.28,680.98
5577150313,90.256,30.9,158.15,694.28
4319703577,4.524,14.31,239.9,731.69
4020332650,5.939,8.39,133.82,1078.73
4057192912,2.048,8.33,85.48,1272.76
8053475328,85.071,10.05,151.86,1139.21
4445114986,6.109,1.48,206.33,840.17
6962181067,26.711,21.78,249.78,644.89
8792009665,1.484,5.87,137,918.35
2022484408,37.349,20.23,256.44,1097.6
8378563200,57.767,10.28,159.67,707.21
1927972279,1.414,1.52,87.45,1123.76
2320127002,1.359,2.38,196.28,1206.51
2891001357,0,0,675,409.5
5553957443,23.465,14.02,199.81,651.44
7007744171,37.306,17.17,295.25,1052.67
1503960366,38.388,18.27,227.63,821.22
8583815059,8.026,18.5,141.68,1261.53
4558609924,8.698,10.65,275.16,1091.3
2873212765,11.857,6.24,305.98,1100.38
4388161847,23.161,20.35,229.35,836.68
6775888955,18.6,33.12,86.4,1141.84
1624580081,5.66,3.82,141.16,1265.56
1844505072,0.464,1.75,195.68,1098.04
6117666160,1.581,3.16,357.19,672.81
2347167796,13.125,22.41,260.88,693.81
8253242879,19.167,13.67,122.17,1275.33
